date_time,Unnamed: 0,ask,bid,ask_volume,bid_volume
2021-01-03 22:28:09.128,366,1.22367,1.22358,0.75,0.94
2021-01-03 22:28:09.179,367,1.22366,1.22355,0.75,0.19
2021-01-03 22:28:27.252,368,1.22367,1.2236,0.75,5.98
2021-01-03 22:28:27.404,369,1.22367,1.22354,0.75,0.19
2021-01-03 22:28:30.318,370,1.22367,1.22352,0.75,0.19
2021-01-03 22:28:31.951,371,1.22367,1.22353,0.75,5.98
2021-01-03 22:28:32.335,372,1.22367,1.22352,0.75,0.19
2021-01-03 22:28:34.277,373,1.22366,1.22355,0.75,0.19
2021-01-03 22:28:44.809,374,1.22367,1.22349,0.75,0.19
2021-01-03 22:28:44.882,375,1.22366,1.22353,0.75,5.98
2021-01-03 22:28:45.318,376,1.22367,1.22351,0.75,5.98
2021-01-03 22:28:45.547,377,1.2237,1.22364,0.37,0.94
2021-01-03 22:28:45.649,378,1.22372,1.22367,7.5,0.19
2021-01-03 22:28:45.927,379,1.22372,1.22368,0.75,0.19
2021-01-03 22:28:46.028,380,1.22373,1.22363,0.75,0.94
2021-01-03 22:28:47.245,381,1.22374,1.22363,0.75,0.94
2021-01-03 22:28:50.128,382,1.22374,1.22361,0.75,0.94
2021-01-03 22:28:50.444,383,1.22374,1.22366,0.75,0.94
2021-01-03 22:28:52.913,384,1.22374,1.22365,0.75,0.37
2021-01-03 22:28:52.964,385,1.22374,1.22362,0.75,0.19
2021-01-03 22:28:53.361,386,1.22374,1.22365,0.75,0.19
2021-01-03 22:28:53.672,387,1.22374,1.2236,0.75,0.94
2021-01-03 22:28:58.077,388,1.22374,1.22362,0.75,5.98
2021-01-03 22:28:59.461,389,1.22374,1.2236,0.75,0.94
2021-01-03 22:29:09.636,390,1.22374,1.22361,0.75,0.75
2021-01-03 22:29:11.345,391,1.22374,1.22362,0.75,5.98
2021-01-03 22:29:14.177,392,1.22374,1.22363,0.75,5.98
2021-01-03 22:29:17.477,393,1.22374,1.22361,0.75,0.75
2021-01-03 22:29:19.317,394,1.22374,1.22366,0.75,0.19
2021-01-03 22:29:19.368,395,1.22379,1.22369,0.19,0.19
2021-01-03 22:29:19.520,396,1.22381,1.22369,0.21,0.94
2021-01-03 22:29:19.571,397,1.22384,1.22377,7.52,0.75
2021-01-03 22:29:19.672,398,1.22389,1.2238,0.0195,0.37
2021-01-03 22:29:19.723,399,1.22388,1.22378,0.0195,0.75
2021-01-03 22:29:20.234,400,1.22404,1.22381,7.5,1.12
2021-01-03 22:29:20.371,401,1.22401,1.22381,7.5,1.12
2021-01-03 22:29:20.660,402,1.22408,1.22381,0.75,2.62
2021-01-03 22:29:23.304,403,1.2239,1.22375,0.0195,0.75
2021-01-03 22:29:23.749,404,1.22408,1.22381,0.75,2.62
2021-01-03 22:29:24.752,405,1.2239,1.22375,0.0195,0.75
2021-01-03 22:29:27.197,406,1.2239,1.22376,0.0187,0.75
2021-01-03 22:29:27.470,407,1.2239,1.22379,0.0187,0.37
2021-01-03 22:29:27.801,408,1.22408,1.22381,0.75,2.25
2021-01-03 22:29:28.785,409,1.22398,1.22381,7.5,2.25
2021-01-03 22:29:30.212,410,1.22397,1.22387,7.5,0.37
2021-01-03 22:29:31.670,411,1.22398,1.22381,7.5,1.12
2021-01-03 22:29:31.771,412,1.22387,1.22377,0.0187,0.37
2021-01-03 22:29:35.826,413,1.22398,1.22381,7.5,0.75
2021-01-03 22:29:40.247,414,1.22398,1.22386,7.5,0.37
2021-01-03 22:29:41.692,415,1.22386,1.22378,0.0187,0.37
2021-01-03 22:29:41.744,416,1.22383,1.22372,0.0187,7.53
2021-01-03 22:29:41.845,417,1.22381,1.22373,0.0187,7.5
2021-01-03 22:29:42.002,418,1.22382,1.22367,0.0187,0.75
2021-01-03 22:29:57.733,419,1.22382,1.2237,0.0187,0.37
2021-01-03 22:30:00.095,420,1.22382,1.22367,0.0187,0.75
2021-01-03 22:30:02.714,421,1.22382,1.22367,0.0187,0.8
2021-01-03 22:30:03.305,422,1.22381,1.22368,0.0187,0.79
2021-01-03 22:30:03.822,423,1.22382,1.22367,0.0187,0.77
2021-01-03 22:30:04.146,424,1.22382,1.22367,0.0187,0.75
2021-01-03 22:30:05.267,425,1.22382,1.22371,0.0187,0.75
2021-01-03 22:30:05.670,426,1.22382,1.22372,0.0187,0.37
2021-01-03 22:30:12.966,427,1.22384,1.22375,0.0187,0.76
2021-01-03 22:30:13.578,428,1.22383,1.22371,0.0187,0.76
2021-01-03 22:30:13.747,429,1.22383,1.22367,0.0187,0.76
2021-01-03 22:30:15.527,430,1.22385,1.22372,0.0187,0.76
2021-01-03 22:30:20.813,431,1.22382,1.22372,0.0187,0.39
2021-01-03 22:30:20.915,432,1.22383,1.22372,0.0187,0.39
2021-01-03 22:30:21.867,433,1.22404,1.22381,0.59,0.19
2021-01-03 22:30:21.918,434,1.22406,1.22391,7.52,0.37
2021-01-03 22:30:22.120,435,1.22409,1.22388,8.27,0.37
2021-01-03 22:30:22.221,436,1.22409,1.22385,8.27,1.12
2021-01-03 22:30:24.238,437,1.22409,1.22392,7.52,0.37
2021-01-03 22:30:25.321,438,1.22409,1.22388,7.52,0.37
2021-01-03 22:30:28.442,439,1.22408,1.224,7.52,3.75
2021-01-03 22:30:28.595,440,1.22404,1.22397,0.0187,0.75
2021-01-03 22:30:28.646,441,1.22406,1.224,0.0187,3.74
2021-01-03 22:30:30.672,442,1.22411,1.22399,7.52,3.67
