Time (UTC),Open,High,Low,Close,Volume 
2021.06.30 21:00:00,1.1856,1.18842,1.18373,1.18492,97887.845
2021.07.01 21:00:00,1.18492,1.18741,1.1807,1.18622,96107.665
2021.07.04 21:00:00,1.18598,1.18804,1.18513,1.1862,61653.28
2021.07.05 21:00:00,1.1862,1.18951,1.18068,1.18234,97935.815
2021.07.06 21:00:00,1.18231,1.18364,1.17815,1.179,97921.78
2021.07.07 21:00:00,1.179,1.18678,1.17834,1.18441,136572.46
2021.07.08 21:00:00,1.18441,1.1881,1.18249,1.1871,99638.755
2021.07.11 21:00:00,1.18751,1.18802,1.1836,1.18596,78221.8704
2021.07.12 21:00:00,1.18594,1.18751,1.17721,1.17758,91330.78
2021.07.13 21:00:00,1.17756,1.18387,1.17717,1.18355,80432.2947
2021.07.14 21:00:00,1.1835,1.18506,1.17962,1.18118,78810.62
2021.07.15 21:00:00,1.18119,1.18221,1.17921,1.18047,75426.955
2021.07.18 21:00:00,1.18054,1.18244,1.17636,1.17967,103317.7638
2021.07.19 21:00:00,1.17979,1.18024,1.17555,1.17801,105180.5956
2021.07.20 21:00:00,1.17776,1.18046,1.17518,1.17939,77664.51
2021.07.21 21:00:00,1.17892,1.18304,1.17572,1.17706,113584.225
2021.07.22 21:00:00,1.17706,1.17865,1.17544,1.17683,70993.027
2021.07.25 21:00:00,1.17681,1.18172,1.17632,1.18026,73500.1445
2021.07.26 21:00:00,1.18027,1.18409,1.17698,1.18165,70716.7476
2021.07.27 21:00:00,1.1816,1.18494,1.17721,1.18432,94418.275
2021.07.28 21:00:00,1.18432,1.18927,1.18406,1.1886,66404.05
2021.07.29 21:00:00,1.18859,1.19085,1.18515,1.18667,80763.4804
2021.08.01 21:00:00,1.18641,1.18968,1.18587,1.18675,65193.0225
2021.08.02 21:00:00,1.18671,1.18932,1.18535,1.18632,61158.165
2021.08.03 21:00:00,1.18632,1.18996,1.18326,1.18364,59572.9093
2021.08.04 21:00:00,1.18364,1.18572,1.1828,1.18321,52567.975
2021.08.05 21:00:00,1.1832,1.18357,1.17543,1.17596,56752.06
2021.08.08 21:00:00,1.1758,1.17689,1.17348,1.17359,51570.23
2021.08.09 21:00:00,1.17359,1.17427,1.17095,1.17185,76856.64
2021.08.10 21:00:00,1.17185,1.17541,1.17059,1.17381,58849.66
2021.08.11 21:00:00,1.17381,1.17481,1.17236,1.17291,47023.99
2021.08.12 21:00:00,1.17287,1.18045,1.17283,1.17933,45321.5
2021.08.15 21:00:00,1.17934,1.18007,1.17672,1.17764,44291.99
2021.08.16 21:00:00,1.17763,1.17846,1.17079,1.17086,58819.29
2021.08.17 21:00:00,1.17088,1.17427,1.16936,1.17089,59729.43
2021.08.18 21:00:00,1.17088,1.17166,1.16656,1.16753,64180.02
2021.08.19 21:00:00,1.16753,1.17044,1.16638,1.16951,51564.875
2021.08.22 21:00:00,1.16935,1.17501,1.16925,1.17439,57461.83
2021.08.23 21:00:00,1.17439,1.1765,1.17272,1.17541,47464.17
2021.08.24 21:00:00,1.17541,1.17745,1.1726,1.17711,58417.755
2021.08.25 21:00:00,1.1771,1.17789,1.17458,1.17513,65088.21
2021.08.26 21:00:00,1.17515,1.18022,1.17348,1.1791,93344.538
2021.08.29 21:00:00,1.17937,1.18097,1.17827,1.17964,54170.02
2021.08.30 21:00:00,1.17963,1.1845,1.17936,1.18079,66223.86
2021.08.31 21:00:00,1.18082,1.18571,1.17935,1.1838,63610.25
2021.09.01 21:00:00,1.18378,1.1876,1.18342,1.18744,50047.195
2021.09.02 21:00:00,1.18743,1.1909,1.18655,1.18773,72552.52
2021.09.05 21:00:00,1.1876,1.18862,1.18557,1.18683,41377.53
2021.09.06 21:00:00,1.18679,1.18851,1.18374,1.18399,66778.5925
2021.09.07 21:00:00,1.18358,1.18511,1.18019,1.1814,79097.1885
2021.09.08 21:00:00,1.18139,1.18412,1.18051,1.18236,79552.69
2021.09.09 21:00:00,1.18233,1.1851,1.18092,1.18101,67067.065
2021.09.12 21:00:00,1.18111,1.18169,1.177,1.181,60555.2
2021.09.13 21:00:00,1.18095,1.18458,1.18,1.18017,66751
2021.09.14 21:00:00,1.18017,1.18318,1.17991,1.1816,71277.8184
2021.09.15 21:00:00,1.18157,1.18204,1.17504,1.17633,66676.44
2021.09.16 21:00:00,1.17679,1.17888,1.17235,1.17239,71670.7775
2021.09.19 21:00:00,1.17288,1.17364,1.17001,1.17252,83124.39
2021.09.20 21:00:00,1.17252,1.17486,1.17147,1.1724,71459.435
2021.09.21 21:00:00,1.1724,1.17555,1.16843,1.16866,83732.6967
2021.09.22 21:00:00,1.16864,1.175,1.16834,1.17384,79637.74
2021.09.23 21:00:00,1.17383,1.17476,1.17005,1.17181,58186.11
2021.09.26 21:00:00,1.17253,1.17261,1.16846,1.16949,112945.81
2021.09.27 21:00:00,1.16944,1.17031,1.16682,1.16827,114537.9
2021.09.28 21:00:00,1.16828,1.169,1.15894,1.15968,109209.29
2021.09.29 21:00:00,1.15967,1.16096,1.15624,1.15752,101060.33
2021.09.30 21:00:00,1.15744,1.16072,1.15628,1.15923,90981.43
2021.10.03 21:00:00,1.15954,1.164,1.15876,1.16189,76445.91
2021.10.04 21:00:00,1.16188,1.16218,1.15804,1.15966,71081.155
2021.10.05 21:00:00,1.15963,1.16028,1.15291,1.15542,90993.445
2021.10.06 21:00:00,1.15542,1.1572,1.15474,1.1553,57847.745
2021.10.07 21:00:00,1.1553,1.15861,1.15413,1.15721,70206.59
2021.10.10 21:00:00,1.15674,1.15867,1.15489,1.15513,53374.52
2021.10.11 21:00:00,1.1551,1.15703,1.15242,1.15298,67222.925
2021.10.12 21:00:00,1.15298,1.15972,1.15287,1.15939,76467.48
2021.10.13 21:00:00,1.15907,1.16242,1.15839,1.15953,92693.08
2021.10.14 21:00:00,1.15953,1.16185,1.15881,1.15983,94944.7
2021.10.17 21:00:00,1.15903,1.16223,1.15717,1.16091,71256.21
2021.10.18 21:00:00,1.16092,1.16693,1.16078,1.16312,60987.58
2021.10.19 21:00:00,1.16308,1.16586,1.16168,1.16485,63574.485
2021.10.20 21:00:00,1.16482,1.16674,1.16194,1.16215,74175.19
2021.10.21 21:00:00,1.16212,1.16556,1.16198,1.16395,108709.2
2021.10.24 21:00:00,1.16382,1.16649,1.15907,1.1608,74247.83
2021.10.25 21:00:00,1.1608,1.16257,1.15848,1.15959,63656.4643
2021.10.26 21:00:00,1.15959,1.16259,1.15849,1.16027,80954.8225
2021.10.27 21:00:00,1.16027,1.16921,1.15821,1.16785,106111.8
2021.10.28 21:00:00,1.1678,1.16899,1.1535,1.15529,100815.635
2021.10.31 21:00:00,1.15576,1.1609,1.1546,1.16052,72276.58
2021.11.01 21:00:00,1.16052,1.16133,1.15751,1.15783,76045.925
2021.11.02 21:00:00,1.15782,1.16162,1.15622,1.16107,96938.0758
2021.11.03 21:00:00,1.16108,1.16164,1.15282,1.15532,85589.6885
2021.11.04 21:00:00,1.15525,1.15731,1.15132,1.15631,95485.4343
2021.11.07 22:00:00,1.15566,1.15949,1.15503,1.15844,63665.205
2021.11.08 22:00:00,1.15836,1.16087,1.15698,1.15927,67441.835
2021.11.09 22:00:00,1.15912,1.15952,1.14759,1.14781,102527.61
2021.11.10 22:00:00,1.14778,1.14875,1.14428,1.14498,69002.94
2021.11.11 22:00:00,1.14488,1.1462,1.14328,1.14413,71026.625
2021.11.14 22:00:00,1.14473,1.14638,1.13562,1.1367,75323.7306
2021.11.15 22:00:00,1.13665,1.13856,1.13089,1.13196,90386.545
2021.11.16 22:00:00,1.13188,1.13321,1.12635,1.13189,85789.18
2021.11.17 22:00:00,1.13181,1.1374,1.13137,1.1369,78177.425
2021.11.18 22:00:00,1.1369,1.13725,1.12499,1.12794,118361.7004
2021.11.21 22:00:00,1.12873,1.12907,1.12306,1.12356,97958.911
2021.11.22 22:00:00,1.12356,1.1275,1.12259,1.12469,93819.85
2021.11.23 22:00:00,1.12465,1.12552,1.11859,1.11962,101888.125
2021.11.24 22:00:00,1.11957,1.12296,1.11944,1.12065,50564.1616
2021.11.25 22:00:00,1.12064,1.13301,1.12057,1.13071,139284.931
2021.11.28 22:00:00,1.13004,1.13134,1.12583,1.12888,101027.6837
2021.11.29 22:00:00,1.12887,1.13828,1.12349,1.13367,160120.645
2021.11.30 22:00:00,1.13354,1.13596,1.13025,1.13188,118041.19
2021.12.01 22:00:00,1.1318,1.13476,1.12953,1.13006,89596.4
2021.12.02 22:00:00,1.13,1.13333,1.12665,1.13117,122008.54
2021.12.05 22:00:00,1.13046,1.13129,1.12663,1.12832,76367.125
2021.12.06 22:00:00,1.12812,1.12984,1.12275,1.12663,70296.385
2021.12.07 22:00:00,1.12662,1.13547,1.12631,1.13413,84371.194
2021.12.08 22:00:00,1.13411,1.13455,1.12783,1.12923,62539.825
2021.12.09 22:00:00,1.12923,1.13239,1.12651,1.13146,74444.66
2021.12.12 22:00:00,1.131,1.13192,1.126,1.12837,68114.025
2021.12.13 22:00:00,1.12811,1.13238,1.12535,1.12579,83807.375
2021.12.14 22:00:00,1.12579,1.12991,1.12215,1.1291,113081.789
2021.12.15 22:00:00,1.12909,1.13603,1.12811,1.13292,81935.055
2021.12.16 22:00:00,1.13293,1.13488,1.1235,1.1237,74337.8625
2021.12.19 22:00:00,1.12371,1.13037,1.12344,1.12756,69885.28
2021.12.20 22:00:00,1.12745,1.13026,1.12607,1.12823,62032.015
2021.12.21 22:00:00,1.12824,1.13423,1.12644,1.13258,58347.3786
2021.12.22 22:00:00,1.1325,1.13422,1.129,1.13262,65917.72
2021.12.23 22:00:00,1.13265,1.13433,1.13031,1.13102,200271.328
2021.12.26 22:00:00,1.13101,1.13344,1.13028,1.13258,40832.8667
2021.12.27 22:00:00,1.13255,1.13331,1.12895,1.1308,39662.18
2021.12.28 22:00:00,1.1308,1.13688,1.12737,1.13459,71259.3243
2021.12.29 22:00:00,1.13449,1.13598,1.12984,1.13248,54239.65
2021.12.30 22:00:00,1.13248,1.13863,1.13032,1.13667,50532.74
